school,course,status,credits,notes
Weill Cornell Medicine,Social Science,recommended,,
Weill Cornell Medicine,Developmental Psychology,not required,,
Weill Cornell Medicine,Cultural Competency,not required,,
Samuel Merritt University,Anatomy,required,,
Samuel Merritt University,Physiology,required,,
Samuel Merritt University,Biology,required,,
Samuel Merritt University,Microbiology,required,,
Samuel Merritt University,Chemistry,required,,
Samuel Merritt University,Organic Chemistry,required,,
Samuel Merritt University,Biochemistry,not required,,
Samuel Merritt University,Statistics,required,,
Samuel Merritt University,English,not required,,
Samuel Merritt University,Genetics,not required,,
Samuel Merritt University,Social Science,not required,,
Samuel Merritt University,Developmental Psychology,not required,,
Samuel Merritt University,Cultural Competency,not required,,
Lincoln Memorial University,Anatomy,required,,
Lincoln Memorial University,Physiology,required,,
Lincoln Memorial University,Biology,required,,
Lincoln Memorial University,Microbiology,required,,
Lincoln Memorial University,Chemistry,required,,
Lincoln Memorial University,Organic Chemistry,required,,
Lincoln Memorial University,Biochemistry,accepted,,
Lincoln Memorial University,Statistics,required,,
Lincoln Memorial University,English,required,,
Lincoln Memorial University,Genetics,not required,,
Lincoln Memorial University,Social Science,not required,,
Lincoln Memorial University,Developmental Psychology,not required,,
Lincoln Memorial University,Cultural Competency,not required,,
South College,Anatomy,required,,
South College,Physiology,required,,
South College,Biology,required,,
South College,Microbiology,required,,
South College,Chemistry,required,,
South College,Organic Chemistry,recommended,,
South College,Biochemistry,recommended,,
South College,Statistics,required,,
South College,English,required,,
South College,Genetics,recommended,,
South College,Social Science,required,,
South College,Developmental Psychology,not required,,
South College,Cultural Competency,not required,,
"University of Nevada, Reno",Anatomy,required,,
"University of Nevada, Reno",Physiology,required,,
"University of Nevada, Reno",Biology,required,,
"University of Nevada, Reno",Microbiology,required,,
"University of Nevada, Reno",Chemistry,required,,
"University of Nevada, Reno",Organic Chemistry,not required,,
"University of Nevada, Reno",Biochemistry,not required,,
"University of Nevada, Reno",Statistics,required,,
"University of Nevada, Reno",English,not required,,
"University of Nevada, Reno",Genetics,not required,,
"University of Nevada, Reno",Social Science,not required,,
"University of Nevada, Reno",Developmental Psychology,not required,,
"University of Nevada, Reno",Cultural Competency,not required,,
Brenau University,Anatomy,required,,
Brenau University,Physiology,required,,
Brenau University,Biology,required,,
Brenau University,Microbiology,required,,
Brenau University,Chemistry,required,,
Brenau University,Organic Chemistry,required,,
Brenau University,Biochemistry,recommended,,
Brenau University,Statistics,required,,
Brenau University,English,not required,,
Brenau University,Genetics,required,,
Brenau University,Social Science,required,,
Brenau University,Developmental Psychology,not required,,
Brenau University,Cultural Competency,not required,,
Hawaii Pacific University,Anatomy,required,,
Hawaii Pacific University,Physiology,required,,
Hawaii Pacific University,Biology,required,,
Hawaii Pacific University,Microbiology,required,,
Hawaii Pacific University,Chemistry,required,,
Hawaii Pacific University,Organic Chemistry,required,,
Hawaii Pacific University,Biochemistry,required,,
Hawaii Pacific University,Statistics,required,,
Hawaii Pacific University,English,unspecified,,
Hawaii Pacific University,Genetics,unspecified,,
Hawaii Pacific University,Social Science,unspecified,,
Hawaii Pacific University,Developmental Psychology,unspecified,,
Hawaii Pacific University,Cultural Competency,unspecified,,
Mayo Clinic School of Health Sciences,Anatomy,required,,
Mayo Clinic School of Health Sciences,Physiology,required,,
Mayo Clinic School of Health Sciences,Biology,required,,
Mayo Clinic School of Health Sciences,Microbiology,required,,
Mayo Clinic School of Health Sciences,Chemistry,required,,
Mayo Clinic School of Health Sciences,Organic Chemistry,required,,
Mayo Clinic School of Health Sciences,Biochemistry,required,,
Mayo Clinic School of Health Sciences,Statistics,required,,
Mayo Clinic School of Health Sciences,English,required,,
Mayo Clinic School of Health Sciences,Genetics,unspecified,,
Mayo Clinic School of Health Sciences,Social Science,unspecified,,
Mayo Clinic School of Health Sciences,Developmental Psychology,required,,
Mayo Clinic School of Health Sciences,Cultural Competency,unspecified,,
Pacific University,Anatomy,required,,
Pacific University,Physiology,required,,
Pacific University,Biology,not required,,
Pacific University,Microbiology,required,,
Pacific University,Chemistry,required,,
Pacific University,Organic Chemistry,required,,
Pacific University,Biochemistry,required,,
Pacific University,Statistics,required,,
Pacific University,English,unspecified,,
Pacific University,Genetics,unspecified,,
Pacific University,Social Science,required,,
Pacific University,Developmental Psychology,recommended,,
Pacific University,Cultural Competency,unspecified,,
Lawrence Technological University,Anatomy,unspecified,,
Lawrence Technological University,Physiology,unspecified,,
Lawrence Technological University,Biology,unspecified,,
Lawrence Technological University,Microbiology,unspecified,,
Lawrence Technological University,Chemistry,unspecified,,
Lawrence Technological University,Organic Chemistry,unspecified,,
